Name,Smile,AKTIP_hit,BCL2_hit,BCL_XL_hit,BCL_XL_SS_hit,CKIT_hit,ENE_A9_hit,EWSR1_hit,FGFR_hit,Glutamine_RS_hit,HBV_hit,HIV_SL3_hit,KLF6_mut_hit,KLF6_wt_hit,KRAS_hit,MYB_hit,MYCN_hit,MYC_Pu22_hit,MALAT1_hit,NRAS_hit,PreQ1_hit,Pre_miR_17_hit,Pre_miR_21_hit,Pre_miR_31_hit,Pro_mut_hit,Pro_wt_hit,RB1_hit,RRE2B_MeA_hit,RRE2B_hit,SAM_ll_hit,TPP_hit,TERRA_hit,VEGF_hit,ZTP_hit,Zika3PrimeUTR_hit,Zika_NS5_hit,MTOR_hit
0608-0088,C(C(O)=O)NC(c1cc(ccc1N)[Br])c1ccccc1[Cl],0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0632-0836,C(=Cc1nc2ccccc2o1)c1ccc(cc1)N,0,0,0,0.0,0,0.0,0,0,1.0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0,0.0,0.0,0,0.0
0632-0882,Cc1ccc(cc1)S(Nc1nc2ccc(cc2s1)N)(=O)=O,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0632-0892,C(CO)n1c2ccc(cc2nc1CO)N,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0632-0897,CN(C)c1ccc(C=Cc2nc3cc(ccc3[nH]2)N)cc1,0,0,0,0.0,0,1.0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0655-0021,Cc1c(C)c(C)nc2c1c(c(C(c1ccccc1)=O)s2)N,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0658-0270,c1ccc2C(c3c(ccc(C(c4cccc5ccccc45)=O)c3N)C(c2c1)=O)=O,0,0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0662-1300,COc1ccccc1OCCSc1nc2ccccc2n1CCO,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0671-0217,C(CNc1nncs1)C#N,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0685-0136,C1=C(C(=O)Oc2ccccc12)c1csc(Nc2ccccc2)n1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0709-0261,CCCCNC1CC(C)(C)CC(C=1)=O,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0717-0935,CCC(C)NC(c1ccc2c(c1)sc(N)n2)=O,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0717-0954,C(c1nc2ccccc2[nH]1)OC(c1ccc(cc1)N)=O,0,0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
0717-0957,C(=Cc1nc2cc(ccc2[nH]1)N)c1ccccc1,0,0,0,0.0,0,0.0,0,0,1.0,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
